ID,Country,Place_Name,Latitude,Longitude
1,DE,Lake,51.7833,8.5667
2,DE,Horb,48.4333,8.6833
3,DE,Hardenberg,51.1,7.7333
4,DE,Horn-bad Meinberg,51.9833,8.9667
5,DE,Winkel,51.55,13.3833
6,DE,Rohrdorf,47.7333,10.0833
7,DE,Sch<f6>nefeld,51.9833,12.8333
8,DE,Beuren,47.75,10.0167
9,DE,Marienfeld,50.8833,7.4333
10,DE,Borgholz,51.6167,9.2667
11,DE,Kappel,47.7667,9.45
12,DE,Riepe,52.9333,9.7333
13,DE,Lauenf<f6>rde,51.6667,10.3833
14,DE,Fredeburg,51.2,8.3
15,DE,Dwergte,52.8833,7.9
16,DE,Hoof,51.2833,9.35
17,DE,Hostel,50.6,6.6167
18,DE,Bischofferode,51.1333,9.7667
19,DE,Riesdorf,51.95,13.2333
20,DE,Odenspiel,50.9333,7.7167
21,DE,Ostenholz,52.7833,9.7167
22,DE,Eckenhagen,50.9833,7.7
23,DE,Dorfmark,52.9167,9.7667
24,DE,Sedlitz,51.55,14.0667
25,DE,Hennickendorf,52.1667,13.1
26,DE,Rinderfeld,49.4194,9.9883
27,DE,Th<fc>row,53.3833,13.1833
28,DE,Oberbeisheim,51.0333,9.5
29,DE,Oldendorf,51.8167,9.7667
30,DE,Breitenbach,50.3667,9.4833
31,DE,Lynow,52.05,13.3833
32,DE,D<fc>derode,51.8,10.1167
33,DE,Ferch,52.3,12.9333
34,DE,Levern,52.3667,8.45
35,DE,Oberacker,49.1067,8.7131
36,DE,Appelh<fc>lsen,51.9,7.4167
37,DE,Hassel,52.7333,9.9833
38,DE,Unterbaldingen,47.9667,8.6167
39,DE,Unterschwarzach,47.95,9.8667
40,DE,Falkenberg,52.4167,13.5667
41,DE,Osterscheps,53.1167,7.9333
42,DE,Windheim,52.4167,9.0167
43,DE,Fulda,50.5518,9.6833
44,DE,Frankfurt,50.1172,8.7281
45,DE,Munich,48.1725,11.5964
46,DE,Frankfurt Am Main,50.1047,8.6407
47,DE,Berlin,52.5167,13.4
48,DE,Sarstedt,52.2387,9.8521
49,DE,Hamburg,53.55,10
50,DE,Oberhausen,51.4834,6.8798
51,DE,Rellingen,53.6413,9.8647
52,DE,Schortens,53.5396,7.9611
53,DE,Wilhelmshaven,53.5395,8.1441
54,DE,Hage,53.5893,7.3112
55,DE,Rostock,54.0833,12.1333
56,DE,Rostock,54.1282,12.1761
57,DE,Rostock,54.0865,12.1544
58,DE,Henstedt-ulzburg,53.7833,10
59,DE,Rostock,54.1471,12.0689
60,DE,Rostock,54.0872,12.1062
61,DE,Rostock,54.1,12.0167
62,DE,Rostock,54.1243,12.1243
63,DE,Itzehoe,53.9333,9.45
64,DE,Kiel,54.3506,10.1205
65,DE,Kiel,54.3157,10.1302
66,DE,Rendsburg,54.3024,9.6625
67,DE,Pinneberg,53.6591,9.8009
68,DE,Schenefeld,53.5996,9.8427
69,DE,Appen,53.65,9.7333
70,DE,Reinbek,53.5104,10.2423
71,DE,Hagenow,53.4833,11.3333
72,DE,Flensburg,54.7915,9.4673
73,DE,Flensburg,54.7983,9.4206
74,DE,Flensburg,54.7652,9.4109
75,DE,L<e4>gerdorf,53.8849,9.5786
76,DE,Neum<fc>nster,54.0614,9.9982
77,DE,Kaltenkirchen,53.8366,9.9606
78,DE,L<fc>beck,53.9167,10.8073
79,DE,L<fc>beck,53.8606,10.6611
80,DE,Heide,54.1913,9.1041
81,DE,Husum,54.4847,9.0668
82,DE,Timmendorfer Strand,53.9858,10.7744
83,DE,Altenholz,54.3734,10.1278
84,DE,Kiel,54.3973,10.1505
85,DE,M<f6>lln,53.6202,10.6773
86,DE,Quickborn,53.7293,9.9128
87,DE,Tangstedt,53.7488,10.0645
88,DE,Bad Segeberg,53.9363,10.3024
89,DE,Neum<fc>nster,54.0725,9.9828
90,DE,L<fc>beck,53.8667,10.7
91,DE,Elmshorn,53.7667,9.5667
92,DE,Geesthacht,53.4395,10.369
93,DE,Schwerin,53.6313,11.4092
94,DE,Stralsund,54.3041,13.046
95,DE,Stralsund,54.3024,13.0928
96,DE,Stralsund,54.3272,13.0642
97,DE,Ahrensburg,53.6599,10.2223
98,DE,Trittau,53.6,10.2667
99,DE,Bargteheide,53.7337,10.2592
100,DE,Kiel,54.3061,10.1448
101,DE,Wahlstedt,53.9538,10.2115
102,DE,Neum<fc>nster,54.1077,9.9946
103,DE,Elmshorn,53.7494,9.685
104,DE,Hamburg,53.6108,9.9033
105,DE,Uetersen,53.7,9.65
106,DE,Hamburg,53.5685,10.0589
107,DE,Hamburg,53.6021,9.9589
108,DE,Hamburg,53.6274,10.0143
109,DE,Parchim,53.4284,11.843
110,DE,Uelzen,52.9675,10.5615
111,DE,Hamburg,53.5389,10.128
112,DE,Cuxhaven,53.8555,8.6773
113,DE,Cuxhaven,53.8584,8.709
114,DE,Cuxhaven,53.8187,8.664
115,DE,Munster,52.9905,10.0977
116,DE,Walsrode,52.8592,9.5853
117,DE,Buxtehude,53.466,9.6912
